"file","line","table","risk","snippet"
"admin/api/opening_balances/save.php","79","journal_vouchers","OK","$pdo->prepare('DELETE FROM journal_vouchers WHERE id = ?')->execute([(int)$oldId]);"
"admin/api/partners/customer-receipt-list.php","21","journal_vouchers","OK","""SELECT jv.id FROM journal_vouchers jv WHERE jv.entry_type = 'customer_receipt'"""
"admin/api/partners/customer-receipt-search.php","53","journal_vouchers","OK","FROM journal_vouchers v"
"admin/api/partners/supplier-payment-delete.php","24","journal_vouchers","OK","""SELECT id FROM journal_vouchers WHERE id = ? AND entry_type = 'supplier_payment' LIMIT 1"""
"admin/api/partners/supplier-payment-delete.php","39","journal_vouchers","OK","$pdo->prepare('DELETE FROM journal_vouchers WHERE id = ?')->execute([$voucherId]);"
"admin/api/partners/supplier-payment-list.php","21","journal_vouchers","OK","""SELECT jv.id FROM journal_vouchers jv WHERE jv.entry_type = 'supplier_payment'"""
"admin/api/partners/supplier-payment-load.php","23","journal_vouchers","OK","'SELECT id, voucher_date, reference, description, entry_type FROM journal_vouchers WHERE id = ? AND entry_type = ? LIMIT 1'"
"admin/api/partners/supplier-payment-search.php","53","journal_vouchers","OK","FROM journal_vouchers v"
"admin/api/settings/gl-accounts.php","28","accounts","OK","'SELECT id, name, code FROM accounts WHERE 1=1' . $acctFilter['sql']"
"admin/api/settings/gl-accounts.php","36","accounts","OK","'SELECT id, name, code FROM accounts WHERE 1=1 ORDER BY COALESCE(code, \'\') ASC, name ASC',"
"admin/api/settings/gl-accounts.php","139","accounts","OK","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"admin/api/settings/gl-accounts.php","153","accounts","OK","$chkHasChildren = $pdo->prepare('SELECT 1 FROM accounts WHERE parent_id = ? LIMIT 1');"
"admin/api/suppliers/print-card.php","47","accounts","OK","$accSt = $pdo->prepare('SELECT code, name FROM accounts WHERE id = ? LIMIT 1');"
"admin/pages/accounting_reports_index.php","22","accounts","OK","$acctIdxSql = ""SELECT COUNT(*) FROM accounts a WHERE $acctIdxLw"";"
"admin/pages/financial_report.php","35","accounts","OK","$acctSql = 'SELECT id, name, code FROM accounts WHERE 1=1';"
"admin/pages/financial_report.php","61","accounts","OK","$frCountSql = ""SELECT COUNT(*) FROM accounts a WHERE $frPostingLeafWhere"";"
"admin/pages/financial_report.php","95","journal_vouchers","OK","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"admin/pages/fiscal_years.php","34","accounts","OK","$st = $pdoConn->prepare('SELECT code, name FROM accounts WHERE id = ? LIMIT 1');"
"admin/pages/gl_account_settings.php","37","accounts","OK","'SELECT a.id, a.name, a.code FROM accounts a WHERE 1=1',"
"admin/pages/gl_posting.php","23","accounts","OK","$glCountSql = ""SELECT COUNT(*) FROM accounts a WHERE $glPlw"";"
"admin/pages/journal_voucher_reports.php","42","journal_vouchers","OK","$sqlDist = 'SELECT DISTINCT jv.entry_type FROM journal_vouchers jv WHERE 1=1' . $jvCountryBindDist['sql']"
