"File","Table","Hits","JV","Acc","WorstRisk","Risks"
"admin/pages/suppliers.php","accounts","3","0","3","MED_REVIEW","LOW_TREE:1, MED_REVIEW:2"
"includes/account_tree.php","accounts","16","0","16","MED_REVIEW","BY_ID:8, LOW_TREE:7, MED_REVIEW:1"
"includes/accounting_report_mapping.php","accounts","1","0",,"MED_REVIEW","MED_REVIEW:1"
"includes/financial_report_breakdown.php","accounts","5","4",,"MED_REVIEW","MED_REVIEW:5"
"includes/gl_account_aging.php","journal_vouchers","2","2","0","MED_REVIEW","MED_REVIEW:2"
"includes/gl_pending_movements.php","accounts","6","3","3","MED_REVIEW","IMPLICIT_ENTITY:1, MED_REVIEW:1, BY_ID:3, REF_KEY:1"
"includes/gl_settings.php","accounts","1","0",,"MED_REVIEW","MED_REVIEW:1"
"includes/journal_voucher.php","accounts","15","13","2","MED_REVIEW","BY_ID:6, MED_REVIEW:6, REF_KEY:2, IMPLICIT_FY:1"
"includes/party_subledger.php","journal_vouchers","2","2","0","MED_REVIEW","MED_REVIEW:2"
"includes/year_end_close.php","accounts","4","3",,"MED_REVIEW","BY_ID:1, REF_KEY:1, IMPLICIT_FY:1, MED_REVIEW:1"
"scripts/maintenance_empty_accounts_reset_autoincrement.sql","accounts","2",,,"MED_REVIEW","MED_REVIEW:2"
"_compare_old_copy/orange - Copy/includes/catalog_schema.php","accounts","2","0","2","LOW_TREE","LOW_TREE:2"
"_compare_zip_old/orange - Copy/includes/catalog_schema.php","accounts","2","0","2","LOW_TREE","LOW_TREE:2"
"admin/pages/accounting_reports_index.php","accounts","1","0",,"LOW_TREE","LOW_TREE:1"
"admin/pages/gl_posting.php","accounts","1","0",,"LOW_TREE","LOW_TREE:1"
"admin/pages/partner_party_voucher_ui.php","accounts","5","0","5","LOW_TREE","BY_ID:3, LOW_TREE:2"
"admin/pages/partner_reports.php","accounts","1","0",,"LOW_TREE","LOW_TREE:1"
"admin/pages/partner_supplier_payment.php","accounts","3","0","3","LOW_TREE","BY_ID:2, LOW_TREE:1"
"admin/pages/purchase_returns.php","accounts","3","0","3","LOW_TREE","BY_ID:1, LOW_TREE:1, SCOPED_WRAPPER:1"
"includes/catalog_schema.php","accounts","2","0","2","LOW_TREE","LOW_TREE:2"
"_compare_old_copy/orange - Copy/includes/order_fulfillment.php","journal_vouchers","1",,"0","REF_KEY","REF_KEY:1"
"_compare_zip_old/orange - Copy/includes/order_fulfillment.php","journal_vouchers","1",,"0","REF_KEY","REF_KEY:1"
"includes/order_fulfillment.php","journal_vouchers","1",,"0","REF_KEY","REF_KEY:1"
"_compare_old_copy/orange - Copy/admin/api/accounts/delete-node.php","accounts","2","0","2","BY_ID","BY_ID:2"
"_compare_old_copy/orange - Copy/admin/api/accounts/suggest-code.php","accounts","1","0",,"BY_ID","BY_ID:1"
"_compare_old_copy/orange - Copy/admin/api/journal/manage.php","accounts","4","2","2","BY_ID","BY_ID:4"
"_compare_old_copy/orange - Copy/admin/api/opening_balances/save.php","journal_vouchers","2","2","0","BY_ID","IMPLICIT_FY:1, BY_ID:1"
"_compare_old_copy/orange - Copy/admin/pages/opening_balances.php","accounts","3","2",,"BY_ID","IMPLICIT_ENTITY:1, IMPLICIT_FY:1, BY_ID:1"
"_compare_old_copy/orange - Copy/includes/year_end_close.php","accounts","2",,,"BY_ID","BY_ID:1, IMPLICIT_FY:1"
"_compare_zip_old/orange - Copy/admin/api/accounts/delete-node.php","accounts","2","0","2","BY_ID","BY_ID:2"
"_compare_zip_old/orange - Copy/admin/api/accounts/suggest-code.php","accounts","1","0",,"BY_ID","BY_ID:1"
"_compare_zip_old/orange - Copy/admin/api/journal/manage.php","accounts","4","2","2","BY_ID","BY_ID:4"
"_compare_zip_old/orange - Copy/admin/api/opening_balances/save.php","journal_vouchers","2","2","0","BY_ID","IMPLICIT_FY:1, BY_ID:1"
"_compare_zip_old/orange - Copy/admin/pages/opening_balances.php","accounts","3","2",,"BY_ID","IMPLICIT_ENTITY:1, IMPLICIT_FY:1, BY_ID:1"
"_compare_zip_old/orange - Copy/includes/year_end_close.php","accounts","2",,,"BY_ID","BY_ID:1, IMPLICIT_FY:1"
"admin/api/accounts/delete-node.php","accounts","2","0","2","BY_ID","BY_ID:2"
"admin/api/accounts/suggest-code.php","accounts","1","0",,"BY_ID","BY_ID:1"
"admin/api/opening_balances/delete.php","journal_vouchers","2","2","0","BY_ID","IMPLICIT_FY:1, BY_ID:1"
"admin/api/opening_balances/save.php","journal_vouchers","2","2","0","BY_ID","IMPLICIT_FY:1, BY_ID:1"
"admin/api/partners/supplier-payment-delete.php","journal_vouchers","2","2","0","BY_ID","BY_ID:2"
"admin/api/partners/supplier-payment-load.php","journal_vouchers","1",,"0","BY_ID","BY_ID:1"
"admin/api/suppliers/print-card.php","accounts","1","0",,"BY_ID","BY_ID:1"
"admin/pages/fiscal_years.php","accounts","1","0",,"BY_ID","BY_ID:1"
"admin/pages/journal_voucher_screen.php","accounts","1","0",,"BY_ID","BY_ID:1"
"includes/countries.php","accounts","3","0","3","BY_ID","BY_ID:2, SCOPED_EXPLICIT:1"
"_compare_old_copy/orange - Copy/includes/fiscal_years.php","journal_vouchers","1",,"0","IMPLICIT_FY","IMPLICIT_FY:1"
"_compare_zip_old/orange - Copy/includes/fiscal_years.php","journal_vouchers","1",,"0","IMPLICIT_FY","IMPLICIT_FY:1"
"includes/fiscal_years.php","journal_vouchers","1",,"0","IMPLICIT_FY","IMPLICIT_FY:1"
"admin/pages/report_pl_compare_years.php","accounts","1","0",,"SCOPED_WRAPPER","SCOPED_WRAPPER:1"
"includes/country_provision.php","accounts","3","0","3","SCOPED_EXPLICIT","SCOPED_EXPLICIT:3"
"_compare_old_copy/orange - Copy/scripts/mysql-strong-integrity.sql","accounts","1","0",,"MAINT","MAINT:1"
"_compare_zip_old/orange - Copy/scripts/mysql-strong-integrity.sql","accounts","1","0",,"MAINT","MAINT:1"
"scripts/migrations/010_remove_analytical_coa_root.sql","accounts","2","0","2","MAINT","MAINT:2"
"scripts/migrations/011_ensure_off_balance_coa_root.sql","accounts","1","0",,"MAINT","MAINT:1"
"scripts/mysql-strong-integrity.sql","accounts","1","0",,"MAINT","MAINT:1"
