"Table","File","Line","Snippet"
"accounts","scripts/migrations/010_remove_analytical_coa_root.sql","3","DELETE FROM accounts"
"accounts","scripts/migrations/010_remove_analytical_coa_root.sql","6","AND NOT EXISTS (SELECT 1 FROM accounts AS c WHERE c.parent_id = accounts.id);"
"accounts","scripts/migrations/011_ensure_off_balance_coa_root.sql","18","FROM accounts AS a"
"accounts","scripts/mysql-strong-integrity.sql","25","--   LEFT JOIN accounts a ON a.id = jl.account_id WHERE jl.account_id IS NOT NULL AND a.id IS NULL;"
"journal_vouchers","_compare_old_copy/orange - Copy/admin/api/journal/manage.php","187","$stmt = $pdo->prepare('SELECT * FROM journal_vouchers WHERE id = ? LIMIT 1');"
"journal_vouchers","_compare_old_copy/orange - Copy/admin/api/journal/manage.php","217","$pdo->prepare('DELETE FROM journal_vouchers WHERE id = ?')->execute([$id]);"
"journal_vouchers","_compare_old_copy/orange - Copy/admin/api/opening_balances/save.php","77","$ex = $pdo->prepare('SELECT id FROM journal_vouchers WHERE fiscal_year_id = ? AND entry_type = ?');"
"journal_vouchers","_compare_old_copy/orange - Copy/admin/api/opening_balances/save.php","80","$pdo->prepare('DELETE FROM journal_vouchers WHERE id = ?')->execute([(int)$oldId]);"
"journal_vouchers","_compare_old_copy/orange - Copy/admin/pages/financial_report.php","55","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"journal_vouchers","_compare_old_copy/orange - Copy/admin/pages/journal_entries.php","29","$st = $pdo->prepare('SELECT * FROM journal_vouchers WHERE fiscal_year_id = ? ORDER BY voucher_date D..."
"journal_vouchers","_compare_old_copy/orange - Copy/admin/pages/opening_balances.php","22","'SELECT id FROM journal_vouchers WHERE fiscal_year_id = ? AND entry_type = ? ORDER BY id DESC LIMIT ..."
"journal_vouchers","_compare_old_copy/orange - Copy/admin/pages/opening_balances.php","27","$vd = $pdo->prepare('SELECT description FROM journal_vouchers WHERE id = ? LIMIT 1');"
"journal_vouchers","_compare_old_copy/orange - Copy/admin/pages/partner_ledger.php","39","INNER JOIN journal_vouchers jv ON jv.id = ps.voucher_id"
"journal_vouchers","_compare_old_copy/orange - Copy/includes/fiscal_years.php","106","$st = $pdo->prepare('SELECT 1 FROM journal_vouchers WHERE fiscal_year_id = ? LIMIT 1');"
"journal_vouchers","_compare_old_copy/orange - Copy/includes/gl_pending_movements.php","404","$vSt = $pdo->prepare('SELECT * FROM journal_vouchers WHERE id = ? FOR UPDATE');"
"journal_vouchers","_compare_old_copy/orange - Copy/includes/gl_pending_movements.php","427","$pdo->prepare('DELETE FROM journal_vouchers WHERE id = ?')->execute([$vid]);"
"journal_vouchers","_compare_old_copy/orange - Copy/includes/gl_pending_movements.php","638","$st = $pdo->prepare('SELECT 1 FROM journal_vouchers WHERE reference LIKE ? LIMIT 1');"
"journal_vouchers","_compare_old_copy/orange - Copy/includes/journal_voucher.php","21","$st = $pdo->prepare('SELECT * FROM journal_vouchers WHERE reference = ? ORDER BY id DESC LIMIT 1');"
"journal_vouchers","_compare_old_copy/orange - Copy/includes/journal_voucher.php","61","$pdo->prepare('DELETE FROM journal_vouchers WHERE id = ?')->execute([(int) $v['id']]);"
"journal_vouchers","_compare_old_copy/orange - Copy/includes/journal_voucher.php","204","$pdo->prepare('DELETE FROM journal_vouchers WHERE id = ?')->execute([$vid]);"
"journal_vouchers","_compare_old_copy/orange - Copy/includes/journal_voucher.php","268","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"journal_vouchers","_compare_old_copy/orange - Copy/includes/order_fulfillment.php","333","$st = $pdo->prepare('SELECT 1 FROM journal_vouchers WHERE reference LIKE ? LIMIT 1');"
"journal_vouchers","_compare_old_copy/orange - Copy/includes/party_subledger.php","132","INNER JOIN journal_vouchers jv ON jv.id = ps.voucher_id"
"journal_vouchers","_compare_old_copy/orange - Copy/includes/party_subledger.php","181","INNER JOIN journal_vouchers jv ON jv.id = ps.voucher_id"
"journal_vouchers","_compare_old_copy/orange - Copy/includes/year_end_close.php","24","$stChk = $pdo->prepare('SELECT id FROM journal_vouchers WHERE fiscal_year_id = ? AND entry_type = ? ..."
"journal_vouchers","_compare_zip_old/orange - Copy/admin/api/journal/manage.php","187","$stmt = $pdo->prepare('SELECT * FROM journal_vouchers WHERE id = ? LIMIT 1');"
"journal_vouchers","_compare_zip_old/orange - Copy/admin/api/journal/manage.php","217","$pdo->prepare('DELETE FROM journal_vouchers WHERE id = ?')->execute([$id]);"
"journal_vouchers","_compare_zip_old/orange - Copy/admin/api/opening_balances/save.php","77","$ex = $pdo->prepare('SELECT id FROM journal_vouchers WHERE fiscal_year_id = ? AND entry_type = ?');"
"journal_vouchers","_compare_zip_old/orange - Copy/admin/api/opening_balances/save.php","80","$pdo->prepare('DELETE FROM journal_vouchers WHERE id = ?')->execute([(int)$oldId]);"
"journal_vouchers","_compare_zip_old/orange - Copy/admin/pages/financial_report.php","55","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"journal_vouchers","_compare_zip_old/orange - Copy/admin/pages/journal_entries.php","29","$st = $pdo->prepare('SELECT * FROM journal_vouchers WHERE fiscal_year_id = ? ORDER BY voucher_date D..."
"journal_vouchers","_compare_zip_old/orange - Copy/admin/pages/opening_balances.php","22","'SELECT id FROM journal_vouchers WHERE fiscal_year_id = ? AND entry_type = ? ORDER BY id DESC LIMIT ..."
"journal_vouchers","_compare_zip_old/orange - Copy/admin/pages/opening_balances.php","27","$vd = $pdo->prepare('SELECT description FROM journal_vouchers WHERE id = ? LIMIT 1');"
"journal_vouchers","_compare_zip_old/orange - Copy/admin/pages/partner_ledger.php","39","INNER JOIN journal_vouchers jv ON jv.id = ps.voucher_id"
"journal_vouchers","_compare_zip_old/orange - Copy/includes/fiscal_years.php","106","$st = $pdo->prepare('SELECT 1 FROM journal_vouchers WHERE fiscal_year_id = ? LIMIT 1');"
"journal_vouchers","_compare_zip_old/orange - Copy/includes/gl_pending_movements.php","404","$vSt = $pdo->prepare('SELECT * FROM journal_vouchers WHERE id = ? FOR UPDATE');"
"journal_vouchers","_compare_zip_old/orange - Copy/includes/gl_pending_movements.php","427","$pdo->prepare('DELETE FROM journal_vouchers WHERE id = ?')->execute([$vid]);"
"journal_vouchers","_compare_zip_old/orange - Copy/includes/gl_pending_movements.php","638","$st = $pdo->prepare('SELECT 1 FROM journal_vouchers WHERE reference LIKE ? LIMIT 1');"
"journal_vouchers","_compare_zip_old/orange - Copy/includes/journal_voucher.php","21","$st = $pdo->prepare('SELECT * FROM journal_vouchers WHERE reference = ? ORDER BY id DESC LIMIT 1');"
"journal_vouchers","_compare_zip_old/orange - Copy/includes/journal_voucher.php","61","$pdo->prepare('DELETE FROM journal_vouchers WHERE id = ?')->execute([(int) $v['id']]);"
"journal_vouchers","_compare_zip_old/orange - Copy/includes/journal_voucher.php","204","$pdo->prepare('DELETE FROM journal_vouchers WHERE id = ?')->execute([$vid]);"
"journal_vouchers","_compare_zip_old/orange - Copy/includes/journal_voucher.php","268","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"journal_vouchers","_compare_zip_old/orange - Copy/includes/order_fulfillment.php","333","$st = $pdo->prepare('SELECT 1 FROM journal_vouchers WHERE reference LIKE ? LIMIT 1');"
"journal_vouchers","_compare_zip_old/orange - Copy/includes/party_subledger.php","132","INNER JOIN journal_vouchers jv ON jv.id = ps.voucher_id"
"journal_vouchers","_compare_zip_old/orange - Copy/includes/party_subledger.php","181","INNER JOIN journal_vouchers jv ON jv.id = ps.voucher_id"
"journal_vouchers","_compare_zip_old/orange - Copy/includes/year_end_close.php","24","$stChk = $pdo->prepare('SELECT id FROM journal_vouchers WHERE fiscal_year_id = ? AND entry_type = ? ..."
"journal_vouchers","admin/api/journal/manage.php","395","$st = $pdo->prepare('SELECT * FROM journal_vouchers WHERE id = ? LIMIT 1');"
"journal_vouchers","admin/api/journal/manage.php","526","'SELECT id, fiscal_year_id, voucher_serial, journal_serial_bucket, entry_type FROM journal_vouchers ..."
"journal_vouchers","admin/api/journal/manage.php","543","'SELECT COUNT(*) FROM journal_vouchers jv WHERE ' . $etFragJv . ' AND jv.fiscal_year_id = ? AND jv.j..."
"journal_vouchers","admin/api/journal/manage.php","552","'SELECT jv.id FROM journal_vouchers jv WHERE ' . $etFragJv"
"journal_vouchers","admin/api/journal/manage.php","559","'SELECT jv.id FROM journal_vouchers jv WHERE ' . $etFragJv"
"journal_vouchers","admin/api/journal/manage.php","566","'SELECT jv.id FROM journal_vouchers jv WHERE ' . $etFragJv"
"journal_vouchers","admin/api/journal/manage.php","576","'SELECT jv.id FROM journal_vouchers jv WHERE ' . $etFragJv"
"journal_vouchers","admin/api/journal/manage.php","588","$cSt = $pdo->prepare('SELECT COUNT(*) FROM journal_vouchers WHERE ' . $etFrag);"
"journal_vouchers","admin/api/journal/manage.php","595","$q = $pdo->prepare('SELECT COALESCE(MIN(id), 0) FROM journal_vouchers WHERE ' . $etFrag);"
"journal_vouchers","admin/api/journal/manage.php","599","$q = $pdo->prepare('SELECT COALESCE(MAX(id), 0) FROM journal_vouchers WHERE ' . $etFrag);"
"journal_vouchers","admin/api/journal/manage.php","604","$q = $pdo->prepare('SELECT COALESCE(MAX(id), 0) FROM journal_vouchers WHERE ' . $etFrag);"
"journal_vouchers","admin/api/journal/manage.php","608","$q = $pdo->prepare('SELECT id FROM journal_vouchers WHERE ' . $etFrag . ' AND id < ? ORDER BY id DES..."
"journal_vouchers","admin/api/journal/manage.php","615","$q = $pdo->prepare('SELECT COALESCE(MIN(id), 0) FROM journal_vouchers WHERE ' . $etFrag);"
"journal_vouchers","admin/api/journal/manage.php","619","$q = $pdo->prepare('SELECT id FROM journal_vouchers WHERE ' . $etFrag . ' AND id > ? ORDER BY id ASC..."
"journal_vouchers","admin/api/journal/manage.php","733","FROM journal_vouchers jv"
"journal_vouchers","admin/api/journal/manage.php","766","$stmt = $pdo->prepare('SELECT * FROM journal_vouchers WHERE id = ? LIMIT 1');"
"journal_vouchers","admin/api/journal/manage.php","850","$pdo->prepare('DELETE FROM journal_vouchers WHERE id = ?')->execute([$id]);"
"journal_vouchers","admin/api/opening_balances/delete.php","36","$ex = $pdo->prepare('SELECT id FROM journal_vouchers WHERE fiscal_year_id = ? AND entry_type = ?');"
"journal_vouchers","admin/api/opening_balances/delete.php","40","$pdo->prepare('DELETE FROM journal_vouchers WHERE id = ?')->execute([(int) $oldId]);"
"journal_vouchers","admin/api/opening_balances/save.php","76","$ex = $pdo->prepare('SELECT id FROM journal_vouchers WHERE fiscal_year_id = ? AND entry_type = ?');"
"journal_vouchers","admin/api/opening_balances/save.php","79","$pdo->prepare('DELETE FROM journal_vouchers WHERE id = ?')->execute([(int)$oldId]);"
"journal_vouchers","admin/api/partners/customer-receipt-list.php","21","""SELECT jv.id FROM journal_vouchers jv WHERE jv.entry_type = 'customer_receipt'"""
"journal_vouchers","admin/api/partners/customer-receipt-search.php","53","FROM journal_vouchers v"
"journal_vouchers","admin/api/partners/supplier-payment-delete.php","24","""SELECT id FROM journal_vouchers WHERE id = ? AND entry_type = 'supplier_payment' LIMIT 1"""
"journal_vouchers","admin/api/partners/supplier-payment-delete.php","39","$pdo->prepare('DELETE FROM journal_vouchers WHERE id = ?')->execute([$voucherId]);"
"journal_vouchers","admin/api/partners/supplier-payment-list.php","21","""SELECT jv.id FROM journal_vouchers jv WHERE jv.entry_type = 'supplier_payment'"""
"journal_vouchers","admin/api/partners/supplier-payment-load.php","23","'SELECT id, voucher_date, reference, description, entry_type FROM journal_vouchers WHERE id = ? AND ..."
"journal_vouchers","admin/api/partners/supplier-payment-search.php","53","FROM journal_vouchers v"
"journal_vouchers","admin/pages/financial_report.php","95","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"journal_vouchers","admin/pages/journal_voucher_reports.php","42","$sqlDist = 'SELECT DISTINCT jv.entry_type FROM journal_vouchers jv WHERE 1=1' . $jvCountryBindDist['..."
"journal_vouchers","admin/pages/journal_voucher_reports.php","86","$sql = 'SELECT * FROM journal_vouchers jv"
"journal_vouchers","admin/pages/opening_balances.php","113","'SELECT id FROM journal_vouchers WHERE fiscal_year_id = ? AND entry_type = ? ORDER BY id DESC LIMIT ..."
"journal_vouchers","admin/pages/opening_balances.php","119","'SELECT voucher_date, reference, description, document_entered_at, created_at FROM journal_vouchers ..."
"journal_vouchers","admin/pages/partner_account_statement.php","218","INNER JOIN journal_vouchers jv ON jv.id = ps.voucher_id"
"journal_vouchers","admin/pages/partner_account_statement.php","233","INNER JOIN journal_vouchers jv ON jv.id = ps.voucher_id"
"journal_vouchers","admin/pages/partner_account_statement.php","264","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"journal_vouchers","admin/pages/partner_account_statement.php","279","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"journal_vouchers","admin/pages/report_gl_account_monthly.php","137","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"journal_vouchers","admin/pages/report_gl_account_monthly.php","156","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"journal_vouchers","admin/pages/report_pl_monthly.php","211","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"journal_vouchers","includes/financial_report_breakdown.php","46","INNER JOIN journal_vouchers jv ON jv.id = ps.voucher_id"
"journal_vouchers","includes/financial_report_breakdown.php","90","INNER JOIN journal_vouchers jv ON jv.id = ps.voucher_id"
"journal_vouchers","includes/financial_report_breakdown.php","130","FROM journal_vouchers jv"
"journal_vouchers","includes/financial_report_breakdown.php","174","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"journal_vouchers","includes/fiscal_years.php","175","$st = $pdo->prepare('SELECT 1 FROM journal_vouchers WHERE fiscal_year_id = ? LIMIT 1');"
"journal_vouchers","includes/gl_account_aging.php","106","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"journal_vouchers","includes/gl_account_aging.php","116","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"journal_vouchers","includes/gl_pending_movements.php","606","$vSt = $pdo->prepare('SELECT * FROM journal_vouchers WHERE id = ? FOR UPDATE');"
"journal_vouchers","includes/gl_pending_movements.php","629","$pdo->prepare('DELETE FROM journal_vouchers WHERE id = ?')->execute([$vid]);"
"journal_vouchers","includes/gl_pending_movements.php","841","$st = $pdo->prepare('SELECT 1 FROM journal_vouchers WHERE reference LIKE ? LIMIT 1');"
"journal_vouchers","includes/journal_voucher.php","42","$sql = 'SELECT COALESCE(MAX(jv.id), 0) + 1 FROM journal_vouchers jv WHERE 1=1' . $bind['sql'];"
"journal_vouchers","includes/journal_voucher.php","92","$st = $pdo->prepare('SELECT country_id FROM journal_vouchers WHERE id = ? LIMIT 1');"
"journal_vouchers","includes/journal_voucher.php","108","$st = $pdo->prepare('SELECT * FROM journal_vouchers WHERE reference = ? ORDER BY id DESC LIMIT 1');"
"journal_vouchers","includes/journal_voucher.php","148","$pdo->prepare('DELETE FROM journal_vouchers WHERE id = ?')->execute([(int) $v['id']]);"
"journal_vouchers","includes/journal_voucher.php","200","'SELECT reference FROM journal_vouchers WHERE reference LIKE ? ORDER BY id ASC'"
"journal_vouchers","includes/journal_voucher.php","322","'SELECT COALESCE(MAX(voucher_serial), 0) + 1 FROM journal_vouchers WHERE fiscal_year_id = ? AND jour..."
"journal_vouchers","includes/journal_voucher.php","343","'SELECT COUNT(*) FROM journal_vouchers WHERE voucher_serial <= 0 OR TRIM(COALESCE(journal_serial_buc..."
"journal_vouchers","includes/journal_voucher.php","351",". ' FROM journal_vouchers WHERE voucher_serial <= 0 OR TRIM(COALESCE(journal_serial_bucket,\'\')) = ..."
"journal_vouchers","includes/journal_voucher.php","580","$pdo->prepare('DELETE FROM journal_vouchers WHERE id = ?')->execute([$vid]);"
"journal_vouchers","includes/journal_voucher.php","657","$ex = $pdo->prepare('SELECT id FROM journal_vouchers WHERE id = ? LIMIT 1');"
"journal_vouchers","includes/journal_voucher.php","771","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"journal_vouchers","includes/journal_voucher.php","824","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"journal_vouchers","includes/journal_voucher.php","873","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"journal_vouchers","includes/order_fulfillment.php","487","$st = $pdo->prepare('SELECT 1 FROM journal_vouchers WHERE reference LIKE ? LIMIT 1');"
"journal_vouchers","includes/party_subledger.php","192","INNER JOIN journal_vouchers jv ON jv.id = ps.voucher_id"
"journal_vouchers","includes/party_subledger.php","241","INNER JOIN journal_vouchers jv ON jv.id = ps.voucher_id"
"journal_vouchers","includes/year_end_close.php","30","$stChk = $pdo->prepare('SELECT id FROM journal_vouchers WHERE reference IN (?,?,?,?) LIMIT 1');"
"journal_vouchers","includes/year_end_close.php","222","'SELECT id FROM journal_vouchers WHERE reference IN (?,?,?,?) OR (fiscal_year_id = ? AND entry_type ..."
"journal_vouchers","includes/year_end_close.php","238","$pdo->prepare(""DELETE FROM journal_vouchers WHERE id IN ($delPh)"")->execute($ids);"
"journal_vouchers","scripts/maintenance_empty_accounts_reset_autoincrement.sql","23","DELETE FROM journal_vouchers;"
