"Table","File","Line","Snippet"
"accounts","_compare_zip_old/orange - Copy/includes/catalog_schema.php","79","$cnt = (int) $pdo->query('SELECT COUNT(*) FROM accounts')->fetchColumn();"
"accounts","_compare_zip_old/orange - Copy/includes/catalog_schema.php","117","$cnt2 = (int) $pdo->query('SELECT COUNT(*) FROM accounts')->fetchColumn();"
"accounts","_compare_zip_old/orange - Copy/includes/gl_pending_movements.php","458","INNER JOIN accounts a ON a.id = jl.account_id"
"accounts","_compare_zip_old/orange - Copy/includes/gl_pending_movements.php","500","$st = $pdo->query('SELECT id, COALESCE(code, \'\') AS code, name FROM accounts WHERE id IN (' . $in ..."
"accounts","_compare_zip_old/orange - Copy/includes/gl_pending_movements.php","595","$chk = $pdo->prepare('SELECT COALESCE(code, \'\') AS code, name FROM accounts WHERE id = ? LIMIT 1')..."
"accounts","_compare_zip_old/orange - Copy/includes/gl_settings.php","235","'SELECT a.id FROM accounts a WHERE a.code = ? AND ' . orange_accounts_posting_leaf_where_sql($pdo, '..."
"accounts","_compare_zip_old/orange - Copy/includes/journal_voucher.php","191","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","_compare_zip_old/orange - Copy/includes/year_end_close.php","87","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","_compare_zip_old/orange - Copy/scripts/mysql-strong-integrity.sql","25","--   LEFT JOIN accounts a ON a.id = jl.account_id WHERE jl.account_id IS NOT NULL AND a.id IS NULL;"
"accounts","admin/api/accounts/delete-node.php","24","$st = $pdo->prepare('SELECT id, name, code, parent_id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/api/accounts/delete-node.php","47","$pdo->prepare('DELETE FROM accounts WHERE id = ?')->execute([$id]);"
"accounts","admin/api/accounts/lookup-by-code.php","34","$sql = 'SELECT a.id, a.name, a.code FROM accounts a WHERE a.code = ? AND ' . orange_accounts_posting..."
"accounts","admin/api/accounts/save-node.php","64","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/api/accounts/save-node.php","101","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND country_id = ? LIMIT 1');"
"accounts","admin/api/accounts/save-node.php","104","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? LIMIT 1');"
"accounts","admin/api/accounts/save-node.php","155","$exSt = $pdo->prepare('SELECT code FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/api/accounts/save-node.php","176","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND country_id = ? AND id <> ? LIMIT 1'..."
"accounts","admin/api/accounts/save-node.php","179","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND id <> ? LIMIT 1');"
"accounts","admin/api/accounts/save-root-setup.php","44","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND country_id = ? LIMIT 1');"
"accounts","admin/api/accounts/save-root-setup.php","47","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? LIMIT 1');"
"accounts","admin/api/accounts/save-root-setup.php","84","$exSt = $pdo->prepare('SELECT id, code, parent_id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/api/accounts/save-root-setup.php","109","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND country_id = ? AND id <> ? LIMIT 1'..."
"accounts","admin/api/accounts/save-root-setup.php","112","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND id <> ? LIMIT 1');"
"accounts","admin/api/accounts/search-leaves.php","33","$conditions[] = 'EXISTS (SELECT 1 FROM accounts ch WHERE ch.parent_id = a.id)';"
"accounts","admin/api/accounts/search-leaves.php","39","$sql = 'SELECT a.id, a.code, a.name FROM accounts a WHERE ' . $where;"
"accounts","admin/api/accounts/search-leaves.php","80","$sql = 'SELECT ' . $cols . ' FROM accounts a WHERE 1=1';"
